x,y,timestamp
382,545,308300360
312,496,308300368
271,468,308300376
284,477,308300384
277,474,308300392
274,472,308300400
270,469,308300408
265,466,308300416
247,454,308300424
261,464,308300432
245,452,308300440
213,430,308300448
236,446,308300456
228,442,308300464
213,431,308300472
212,430,308300481
202,423,308300489
223,438,308300497
203,424,308300505
215,432,308300513
214,432,308300521
204,426,308300529
216,435,308300537
223,438,308300545
209,429,308300553
225,441,308300561
225,440,308300569
222,439,308300577
224,440,308300585
220,437,308300594
243,452,308300602
214,431,308300610
202,422,308300618
185,411,308300626
179,407,308300634
209,427,308300642
218,433,308300650
207,426,308300658
196,419,308300666
211,428,308300674
211,428,308300682
216,430,308300690
213,430,308300698
213,430,308300706
197,419,308300715
197,419,308300723
199,420,308300731
191,415,308300739
203,423,308300747
174,403,308300755
197,419,308300763
193,416,308300771
197,420,308300779
194,418,308300787
192,416,308300795
187,412,308300803
177,406,308300811
341,514,308300819
607,689,308300828
184,964,308317232
404,945,308317240
570,930,308317248
659,929,308317256
786,927,308317264
800,921,308317353
785,908,308317377
786,911,308317385
790,912,308317393
801,923,308317401
787,908,308317409
792,912,308317417
811,923,308317426
829,931,308317434
881,941,308317442
578,827,308317740
526,834,308317748
498,858,308317756
501,856,308317764
485,849,308317773
476,836,308317781
467,826,308317789
453,818,308317797
445,817,308317805
457,826,308317813
444,813,308317821
437,801,308317829
437,809,308317837
447,818,308317845
429,800,308317853
432,802,308317861
429,795,308317869
433,802,308317877
423,798,308317885
427,798,308317894
429,799,308317902
421,786,308317910
432,793,308317918
426,787,308317926
432,792,308317934
435,793,308317942
603,1036,308318079
563,972,308318087
509,898,308318095
467,847,308318103
452,835,308318111
449,836,308318119
460,842,308318128
430,832,308318136
429,832,308318144
437,836,308318152
425,826,308318160
427,830,308318168
419,827,308318176
399,812,308318184
402,815,308318192
408,819,308318200
393,806,308318208
394,808,308318216
408,820,308318224
475,827,308318232
613,865,308318241
704,863,308318249
783,852,308318257
838,864,308318265
558,630,308318297
524,610,308318305
490,590,308318313
523,609,308318321
499,596,308318329
490,591,308318337
499,596,308318345
505,600,308318353
487,589,308318362
462,576,308318370
453,575,308318378
149,433,308318394
550,649,308318668
626,837,308318692
620,875,308318700
627,895,308318709
605,869,308318717
604,865,308318725
613,872,308318733
586,850,308318741
584,846,308318749
578,843,308318757
582,843,308318765
573,837,308318773
579,840,308318781
571,835,308318789
582,839,308318797
568,827,308318805
573,835,308318813
564,826,308318822
565,830,308318830
571,832,308318838
571,833,308318846
569,831,308318854
568,835,308318862
563,833,308318870
566,832,308318878
568,835,308318886
562,829,308318894
551,816,308318902
565,831,308318910
531,864,308318918
470,920,308318926
374,957,308318934
325,989,308318943
333,1002,308318951
344,997,308318959
336,990,308318967
335,990,308318975
337,991,308318983
348,1003,308318991
341,997,308318999
340,990,308319007
355,984,308319015
346,977,308319023
354,979,308319031
432,1099,308319177
407,1044,308319185
395,1017,308319193
375,978,308319201
372,978,308319209
365,977,308319217
368,985,308319225
377,988,308319233
369,988,308319241
370,984,308319249
355,973,308319257
368,981,308319265
370,982,308319273
365,977,308319281
352,974,308319290
360,980,308319298
362,981,308319306
356,972,308319314
336,967,308319322
316,970,308319330
213,989,308319338
60,992,308319346
298,1079,308319580
551,1108,308319588
701,1152,308319596
738,781,308319992
633,709,308320000
550,653,308320008
522,636,308320024
546,652,308320032
542,649,308320040
550,655,308320048
557,658,308320056
543,651,308320064
514,631,308320072
514,632,308320080
526,640,308320088
505,627,308320096
505,626,308320104
486,614,308320113
497,621,308320121
482,610,308320129
490,617,308320137
508,629,308320145
497,622,308320153
506,628,308320161
490,617,308320169
488,616,308320177
480,613,308320185
404,571,308320193
325,529,308320201
250,485,308320209
191,450,308320217
131,407,308320226
139,414,308320234
140,414,308320242
143,416,308320250
134,408,308320258
117,397,308320266
120,399,308320274
112,393,308320282
115,396,308320290
115,394,308320298
124,400,308320306
120,398,308320314
136,409,308320322
129,405,308320330
132,407,308320338
129,404,308320347
111,391,308320355
132,406,308320363
134,408,308320371
125,403,308320379
110,390,308320387
118,396,308320395
123,401,308320403
139,410,308320411
118,396,308320419
133,408,308320427
73,361,308320435
87,396,308322461
31,350,308322469
1,302,308324300
2,303,308324317
3,304,308324365
6,306,308324413
2,303,308324421
9,309,308324462
77,335,308325325
260,459,308328012
172,402,308328133
37,313,308328141
12,298,308328238
27,309,308328246
51,325,308328254
45,321,308328262
15,300,308328270
33,313,308328278
31,311,308328287
34,313,308328295
23,306,308328303
13,299,308328311
27,309,308328319
33,313,308328327
50,325,308328335
45,321,308328343
32,312,308328351
17,303,308328359
22,306,308328367
34,314,308328375
23,306,308328383
18,303,308328391
30,312,308328399
26,309,308328408
26,308,308328416
28,310,308328424
18,304,308328432
31,312,308328440
27,309,308328448
34,314,308328456
26,309,308328464
40,318,308328472
123,367,308330481
71,338,308331788
223,465,308331797
293,579,308331813
294,585,308331821
283,571,308331829
294,579,308331837
277,568,308331845
285,574,308331853
278,568,308331861
276,565,308331869
276,563,308331877
276,561,308331885
282,570,308331893
290,574,308331901
277,565,308331910
275,561,308331918
267,558,308331926
272,559,308331934
274,564,308331942
270,558,308331950
265,555,308331958
267,556,308331966
268,557,308331974
237,540,308331982
206,519,308331990
191,512,308331998
190,511,308332006
187,509,308332014
198,518,308332022
186,509,308332031
185,510,308332039
193,512,308332047
189,512,308332055
189,509,308332063
194,517,308332071
191,518,308332079
186,509,308332087
186,508,308332095
185,509,308332103
184,506,308332111
185,507,308332119
187,509,308332127
192,509,308332135
191,513,308332144
196,513,308332152
180,502,308332160
181,500,308332168
183,502,308332176
205,520,308332184
179,504,308332192
171,496,308332200
169,494,308332208
180,502,308332216
172,497,308332224
171,493,308332232
179,501,308332240
171,496,308332248
172,498,308332256
175,496,308332265
192,499,308332273
223,509,308332281
215,498,308332289
224,505,308332297
205,492,308332305
219,501,308332313
223,504,308332321
216,500,308332329
226,507,308332337
225,509,308332345
228,513,308332353
220,505,308332361
219,506,308332369
210,498,308332378
212,500,308332386
203,489,308332394
215,500,308332402
206,491,308332410
208,494,308332418
216,503,308332426
206,493,308332434
206,493,308332442
215,500,308332450
220,503,308332458
207,491,308332466
225,500,308332474
238,501,308332482
255,511,308332490
243,503,308332499
239,500,308332507
248,508,308332515
241,502,308332523
238,498,308332531
239,503,308332539
236,499,308332547
236,499,308332555
250,511,308332563
227,491,308332571
230,493,308332579
246,508,308332587
231,494,308332595
247,506,308332603
250,508,308332612
239,499,308332620
244,504,308332628
232,494,308332636
253,513,308332644
224,488,308332652
252,510,308332660
232,495,308332668
237,506,308332676
238,510,308332684
235,508,308332692
229,503,308332700
237,510,308332708
233,508,308332716
232,504,308332724
235,507,308332733
244,516,308332741
241,511,308332749
235,509,308332757
234,505,308332765
225,496,308332773
237,507,308332781
236,507,308332789
239,510,308332797
237,506,308332805
246,512,308332813
224,496,308332821
242,510,308332829
242,513,308332837
234,502,308332846
228,497,308332854
221,494,308332862
251,518,308332870
237,507,308332878
248,514,308332886
242,511,308332894
229,498,308332902
243,509,308332910
250,510,308332918
230,491,308332926
245,505,308332934
221,487,308332942
231,493,308332950
223,487,308332958
241,502,308332967
252,512,308332975
231,492,308332983
227,490,308332991
219,484,308332999
224,489,308333007
239,501,308333015
232,495,308333023
227,490,308333031
229,493,308333039
242,504,308333047
234,496,308333055
242,504,308333063
235,499,308333071
244,506,308333080
221,487,308333088
232,494,308333096
245,508,308333104
232,490,308333112
248,496,308333120
