x,y,timestamp
175,723,1654588
162,730,1654592
153,725,1654596
155,726,1654600
154,731,1654604
158,730,1654608
158,728,1654612
158,729,1654617
160,730,1654621
158,731,1654625
156,727,1654629
151,730,1654633
150,729,1654637
150,731,1654641
151,729,1654645
151,730,1654649
151,727,1654653
148,727,1654657
146,719,1654661
146,719,1654665
147,717,1654669
147,715,1654673
147,711,1654677
148,711,1654681
147,703,1654685
145,704,1654689
147,701,1654693
147,701,1654697
144,704,1654701
146,704,1654705
147,702,1654709
149,702,1654713
148,702,1654717
146,701,1654721
146,698,1654725
147,697,1654729
148,698,1654734
147,697,1654738
148,699,1654742
148,700,1654746
148,700,1654750
148,703,1654754
149,705,1654758
149,702,1654762
152,704,1654766
148,705,1654770
150,705,1654774
152,703,1654778
155,705,1654782
153,704,1654786
156,704,1654790
159,704,1654794
161,705,1654798
158,705,1654802
159,707,1654806
164,708,1654810
166,709,1654814
171,708,1654818
173,709,1654822
183,705,1654826
185,708,1654830
189,709,1654834
189,712,1654838
189,710,1654842
189,705,1654846
190,701,1654851
192,705,1654855
195,705,1654859
195,704,1654863
194,700,1654867
195,702,1654871
197,702,1654875
198,699,1654879
202,698,1654883
204,698,1654887
204,697,1654891
205,697,1654895
207,698,1654899
210,702,1654903
211,701,1654907
212,700,1654911
207,701,1654915
209,700,1654919
206,701,1654923
205,702,1654927
205,705,1654931
207,705,1654935
202,735,1654939
201,744,1654943
203,792,1654947
208,850,1654951
201,886,1654955
202,957,1654959
199,972,1654963
196,999,1654968
198,999,1654972
191,1003,1654976
204,1003,1654980
202,996,1654984
205,1001,1654988
205,1005,1654992
208,1012,1654996
205,1018,1655000
209,1020,1655004
209,1022,1655008
211,1027,1655012
207,1028,1655016
208,1031,1655020
208,1038,1655024
207,1042,1655028
206,1046,1655032
202,1049,1655036
203,1050,1655040
201,1054,1655044
200,1059,1655048
201,1063,1655052
201,1068,1655056
203,1071,1655060
201,1074,1655064
200,1076,1655068
200,1079,1655072
202,1079,1655076
200,1081,1655080
198,1081,1655085
198,1086,1655089
200,1085,1655093
203,1090,1655097
205,1091,1655101
206,1093,1655105
208,1092,1655109
207,1094,1655113
207,1093,1655117
207,1093,1655121
208,1093,1655125
207,1096,1655129
209,1096,1655133
