x,y,timestamp
656,458,18322275
662,453,18322283
662,457,18322287
662,455,18322291
662,454,18322299
666,448,18322308
670,453,18322312
673,457,18322316
677,461,18322324
681,464,18322328
681,459,18322332
686,463,18322336
688,466,18322340
691,469,18322344
693,472,18322348
693,472,18322352
689,479,18322356
686,476,18322360
691,475,18322364
691,477,18322368
702,472,18322372
704,471,18322376
702,474,18322380
701,471,18322384
697,466,18322388
696,464,18322392
696,462,18322396
693,457,18322400
687,458,18322404
678,449,18322408
684,450,18322412
678,446,18322416
677,447,18322420
676,451,18322425
668,452,18322429
670,455,18322433
686,445,18322437
683,451,18322441
677,455,18322445
679,454,18322449
672,459,18322453
676,463,18322457
671,472,18322461
670,471,18322465
671,473,18322469
670,477,18322473
665,467,18322477
670,469,18322481
675,471,18322485
679,468,18322489
678,472,18322497
678,471,18322501
676,465,18322505
677,471,18322509
671,466,18322513
651,474,18322517
649,476,18322521
586,489,18322525
585,488,18322529
453,607,18322533
446,606,18322537
387,627,18322542
361,619,18322546
352,627,18322550
298,605,18322554
323,591,18322558
290,595,18322562
307,582,18322566
289,601,18322570
308,588,18322574
311,596,18322578
337,586,18322582
338,588,18322586
352,577,18322590
352,580,18322594
370,563,18322598
369,562,18322602
386,558,18322606
384,555,18322610
410,561,18322614
409,554,18322618
409,551,18322622
406,547,18322626
413,548,18322630
416,555,18322634
422,557,18322638
424,564,18322642
427,564,18322646
429,563,18322650
428,565,18322654
432,570,18322659
440,571,18322663
443,572,18322667
447,568,18322671
449,565,18322675
448,565,18322679
451,571,18322683
462,566,18322687
463,570,18322691
470,568,18322695
474,575,18322699
471,575,18322703
471,579,18322707
461,580,18322711
461,580,18322715
456,580,18322719
455,582,18322723
452,579,18322727
451,575,18322731
456,572,18322735
456,570,18322739
450,564,18322743
448,562,18322747
449,567,18322751
446,564,18322755
448,569,18322759
446,565,18322763
440,600,18322767
439,600,18322771
417,629,18322776
416,629,18322780
410,638,18322784
410,651,18322788
409,650,18322792
398,668,18322796
397,670,18322800
396,681,18322804
394,685,18322808
394,692,18322812
392,693,18322816
391,694,18322820
389,697,18322824
390,698,18322828
389,693,18322832
392,693,18322836
396,691,18322840
398,687,18322844
402,685,18322848
401,681,18322852
401,680,18322856
402,676,18322860
407,675,18322864
408,678,18322868
404,677,18322872
401,664,18322876
402,661,18322880
403,658,18322884
401,654,18322888
401,651,18322893
402,654,18322897
401,654,18322901
404,653,18322905
404,654,18322909
404,660,18322913
402,658,18322917
400,660,18322921
402,662,18322925
400,666,18322929
400,673,18322933
396,673,18322937
396,683,18322941
394,695,18322945
395,696,18322949
392,699,18322953
392,705,18322957
390,709,18322961
391,716,18322965
391,713,18322969
390,714,18322973
379,718,18322977
379,718,18322981
381,716,18322985
382,716,18322989
379,718,18322993
381,722,18322997
381,718,18323001
382,717,18323005
387,714,18323010
380,709,18323014
382,709,18323018
381,705,18323022
391,699,18323026
391,701,18323030
397,695,18323034
400,699,18323038
407,693,18323042
389,699,18323046
409,694,18323050
412,701,18323054
493,674,18323058
493,676,18323062
624,630,18323066
627,629,18323070
701,607,18323074
707,620,18323078
766,602,18323082
814,643,18323086
821,638,18323090
838,627,18323094
816,631,18323098
946,778,18323102
939,775,18323106
946,785,18323110
938,788,18323114
938,788,18323118
930,789,18323122
914,747,18323127
915,744,18323131
932,787,18323135
930,783,18323139
931,783,18323143
909,781,18323147
909,781,18323151
910,776,18323155
910,777,18323159
911,775,18323163
911,775,18323167
910,774,18323171
832,638,18323175
826,629,18323179
841,638,18323183
844,637,18323187
850,642,18323191
850,647,18323195
851,647,18323199
857,645,18323203
860,643,18323207
858,646,18323211
863,648,18323215
865,647,18323219
865,651,18323223
866,653,18323227
869,662,18323231
878,660,18323235
881,670,18323239
878,671,18323244
882,714,18323248
887,712,18323252
883,736,18323256
882,735,18323260
880,748,18323264
885,748,18323268
885,750,18323272
885,744,18323276
882,749,18323280
882,748,18323284
881,749,18323288
879,749,18323292
879,749,18323296
884,745,18323300
883,744,18323304
886,739,18323308
877,736,18323312
875,738,18323316
876,735,18323320
875,735,18323324
874,731,18323328
874,729,18323332
873,724,18323336
879,725,18323340
878,721,18323344
873,730,18323348
873,728,18323352
869,732,18323356
867,730,18323361
868,729,18323365
867,726,18323369
862,734,18323373
862,733,18323377
834,742,18323381
833,740,18323385
779,753,18323389
778,755,18323393
554,908,18323397
541,900,18323401
445,892,18323405
393,842,18323409
353,857,18323413
293,780,18323417
293,780,18323421
262,734,18323425
262,733,18323429
243,706,18323433
203,716,18323437
212,705,18323449
212,704,18323453
211,699,18323465
211,698,18323469
209,691,18323473
210,690,18323478
208,687,18323482
209,686,18323486
207,678,18323490
208,678,18323494
208,675,18323498
208,674,18323502
212,683,18323506
212,682,18323510
202,690,18323514
203,689,18323518
202,689,18323522
202,689,18323526
202,687,18323530
202,686,18323534
203,685,18323538
204,684,18323542
206,684,18323546
207,683,18323550
208,684,18323554
208,684,18323558
209,684,18323562
209,683,18323566
211,686,18323570
211,685,18323574
211,688,18323578
210,691,18323582
210,692,18323586
211,691,18323590
210,688,18323595
211,687,18323599
212,687,18323603
212,686,18323607
214,688,18323611
212,688,18323615
210,690,18323619
169,700,18323623
168,698,18323627
211,686,18323631
211,687,18323635
170,696,18323639
169,696,18323643
169,694,18323647
167,689,18323651
126,699,18323655
125,698,18323659
128,667,18323663
126,668,18323667
126,667,18323671
105,642,18323675
105,641,18323679
86,621,18323683
87,620,18323687
89,619,18323691
44,658,18323695
48,662,18323699
49,661,18323703
53,668,18323707
53,667,18323712
45,673,18323716
45,672,18323720
49,676,18323724
50,675,18323728
52,680,18323732
55,649,18323736
58,653,18323740
56,682,18323744
60,677,18323748
60,676,18323752
60,676,18323756
63,645,18323760
66,650,18323764
64,679,18323768
67,686,18323772
112,645,18323776
111,641,18323780
66,652,18323784
66,681,18323792
66,680,18323796
67,679,18323800
65,679,18323804
66,678,18323808
65,678,18323812
63,674,18323816
63,674,18323820
66,644,18323824
65,645,18323829
65,644,18323833
67,647,18323837
24,656,18323841
22,655,18323845
21,654,18323849
11,641,18323853
12,641,18323857
2,624,18323861
3,623,18323865
5,623,18323869
5,622,18323873
8,629,18323877
52,618,18323881
48,617,18323885
5,627,18323889
7,627,18323893
7,626,18323897
5,627,18323901
3,656,18323905
4,655,18323909
8,624,18323913
7,620,18323917
5,649,18323921
6,649,18323925
7,648,18323929
8,647,18323933
11,616,18323937
10,615,18323941
7,645,18323946
11,648,18323950
58,608,18323954
56,604,18323958
13,612,18323962
13,614,18323966
11,643,18323970
11,639,18323974
15,608,18323978
18,612,18323982
16,641,18323986
18,644,18323990
19,643,18323994
17,641,18323998
20,610,18324002
20,608,18324006
17,637,18324010
19,640,18324014
16,616,18324018
16,616,18324022
17,615,18324026
15,613,18324030
16,612,18324034
16,613,18324038
13,642,18324042
12,636,18324046
20,610,18324050
21,612,18324054
19,641,18324058
17,638,18324063
21,607,18324067
21,604,18324071
25,598,18324083
25,598,18324087
25,597,18324091
23,593,18324095
22,621,18324107
21,621,18324111
33,625,18324155
31,621,18324159
37,613,18324220
36,611,18324224
40,610,18324244
43,614,18324248
43,633,18324268
42,634,18324272
0,644,18324305
1,648,18324313
0,643,18324317
1,644,18324321
2,642,18324329
1,638,18324333
0,638,18324341
215,518,18324345
241,528,18324353
239,530,18324357
243,538,18324361
247,539,18324365
269,556,18324373
267,554,18324381
262,563,18324385
270,560,18324389
268,561,18324393
278,559,18324397
277,563,18324405
285,559,18324409
297,557,18324414
298,563,18324418
298,562,18324422
298,568,18324426
291,578,18324430
291,578,18324434
291,591,18324438
292,595,18324442
285,594,18324446
286,598,18324450
278,599,18324454
279,604,18324458
301,603,18324462
300,612,18324466
343,605,18324470
343,606,18324474
