x,y,timestamp
277,666,31920355
289,668,31920363
296,664,31920371
313,668,31920379
322,671,31920387
788,669,31920403
791,678,31920407
794,686,31920411
795,683,31920415
797,691,31920419
783,688,31920423
856,838,31920427
846,834,31920431
849,843,31920435
773,968,31920439
777,973,31920443
683,1125,31920447
687,1132,31920451
373,988,31920455
377,994,31920459
428,933,31920463
428,935,31920467
568,842,31920471
569,848,31920475
644,885,31920479
644,882,31920483
622,904,31920487
627,911,31920491
626,912,31920495
628,914,31920499
640,911,31920503
640,911,31920507
640,920,31920511
642,922,31920515
638,930,31920520
642,934,31920524
640,938,31920528
642,938,31920532
639,940,31920536
641,939,31920540
641,941,31920544
643,938,31920548
641,941,31920552
642,940,31920556
645,942,31920560
647,944,31920564
647,944,31920568
647,944,31920572
646,947,31920576
646,949,31920580
650,950,31920584
650,948,31920588
653,941,31920592
652,942,31920596
649,947,31920600
649,946,31920604
647,947,31920608
646,948,31920612
646,950,31920616
645,952,31920620
642,949,31920624
641,951,31920628
642,951,31920632
642,947,31920637
640,945,31920641
640,942,31920645
637,943,31920649
640,940,31920653
638,935,31920657
640,931,31920661
635,931,31920665
633,930,31920669
633,927,31920673
634,927,31920677
637,925,31920681
637,924,31920685
641,922,31920689
643,922,31920693
648,917,31920697
647,916,31920701
650,916,31920705
649,918,31920709
655,917,31920713
653,916,31920717
658,917,31920721
657,916,31920725
655,920,31920729
655,920,31920733
661,920,31920737
662,920,31920741
663,921,31920745
665,923,31920749
666,924,31920754
665,918,31920758
666,919,31920762
666,918,31920766
664,920,31920770
662,918,31920774
662,922,31920778
664,922,31920782
663,922,31920786
664,922,31920790
660,916,31920794
661,917,31920798
664,909,31920802
664,909,31920806
665,905,31920810
666,905,31920814
664,904,31920818
663,906,31920822
654,903,31920826
656,907,31920830
655,904,31920834
657,904,31920838
658,900,31920842
660,900,31920846
660,897,31920850
661,897,31920854
653,899,31920858
655,900,31920862
654,896,31920866
652,886,31920871
650,887,31920875
637,847,31920879
632,850,31920883
630,816,31920887
629,819,31920891
649,766,31920895
650,766,31920899
635,736,31920903
635,738,31920907
634,714,31920911
634,715,31920915
634,714,31920919
636,715,31920923
623,775,31920927
615,762,31920931
615,742,31920935
592,717,31920939
591,710,31920943
565,683,31920947
564,679,31920951
543,655,31920955
535,654,31920959
517,634,31920963
516,631,31920967
515,628,31920971
513,625,31920975
511,625,31920979
507,621,31920983
505,617,31920988
502,614,31920992
497,608,31920996
486,603,31921000
482,601,31921004
474,589,31921008
475,581,31921012
474,581,31921016
479,575,31921020
480,577,31921024
477,572,31921028
476,573,31921032
477,567,31921036
478,568,31921040
479,569,31921044
480,572,31921048
479,575,31921052
480,578,31921056
478,579,31921060
478,576,31921064
484,574,31921068
484,574,31921072
484,573,31921076
484,574,31921080
486,573,31921084
485,573,31921088
488,572,31921092
487,576,31921096
492,574,31921100
493,571,31921105
499,571,31921109
497,571,31921113
503,571,31921117
478,563,31921121
481,562,31921125
440,539,31921129
443,536,31921133
431,531,31921137
433,531,31921141
429,529,31921145
431,530,31921149
437,531,31921153
439,533,31921157
448,532,31921161
446,532,31921165
449,531,31921169
431,536,31921173
433,537,31921177
390,544,31921181
392,544,31921185
356,556,31921189
364,553,31921193
244,689,31921197
244,686,31921201
343,538,31921205
345,541,31921209
322,540,31921213
323,542,31921217
306,549,31921222
307,550,31921226
305,552,31921230
305,552,31921234
301,556,31921238
299,557,31921242
299,558,31921246
299,558,31921250
299,558,31921254
298,560,31921258
303,558,31921262
302,560,31921266
300,564,31921270
299,564,31921274
294,574,31921278
293,574,31921282
288,592,31921286
288,591,31921290
293,603,31921294
292,601,31921298
293,601,31921302
292,601,31921306
295,600,31921310
295,600,31921314
296,599,31921318
297,598,31921322
299,598,31921326
312,604,31921330
307,605,31921334
351,629,31921339
350,632,31921343
394,657,31921347
393,658,31921351
414,660,31921355
411,661,31921359
427,665,31921363
425,665,31921367
423,660,31921371
420,663,31921375
421,662,31921379
429,663,31921383
430,660,31921387
518,636,31921391
519,637,31921395
638,599,31921399
636,598,31921403
686,583,31921407
685,584,31921411
724,573,31921415
725,574,31921419
720,568,31921423
716,566,31921427
712,564,31921431
714,563,31921435
713,563,31921439
712,566,31921443
711,566,31921447
713,570,31921451
711,570,31921456
711,571,31921460
710,571,31921464
710,569,31921468
712,566,31921472
714,564,31921476
707,569,31921480
706,568,31921484
704,570,31921488
700,568,31921492
696,569,31921496
692,568,31921500
687,575,31921504
686,575,31921508
680,575,31921512
680,578,31921516
676,580,31921520
674,578,31921524
669,581,31921528
667,578,31921532
668,579,31921536
665,580,31921540
667,579,31921544
664,580,31921548
663,581,31921552
663,583,31921556
663,583,31921560
663,584,31921564
665,581,31921569
666,582,31921573
670,582,31921577
674,582,31921581
676,580,31921585
692,585,31921589
691,583,31921593
697,587,31921597
698,584,31921601
697,579,31921605
700,573,31921609
699,573,31921613
694,572,31921617
692,573,31921621
693,570,31921625
694,568,31921629
702,565,31921633
701,568,31921637
732,553,31921641
733,555,31921645
757,546,31921649
755,543,31921653
744,546,31921657
745,549,31921661
745,547,31921665
745,545,31921669
748,547,31921673
748,550,31921677
751,551,31921681
750,553,31921686
752,557,31921690
754,557,31921694
757,557,31921698
759,560,31921702
762,561,31921706
763,562,31921710
764,560,31921714
765,559,31921718
765,560,31921722
767,562,31921726
765,563,31921730
766,565,31921734
765,564,31921738
765,564,31921742
766,564,31921746
767,565,31921750
764,564,31921754
766,566,31921758
768,565,31921762
770,565,31921766
769,561,31921770
768,560,31921774
763,563,31921778
765,564,31921782
766,566,31921786
766,564,31921790
764,565,31921794
767,564,31921798
765,566,31921803
766,568,31921807
768,570,31921811
768,568,31921815
770,566,31921819
770,564,31921823
768,568,31921827
769,566,31921831
768,569,31921835
769,569,31921839
766,574,31921843
766,572,31921847
764,577,31921851
763,578,31921855
765,579,31921859
763,575,31921863
762,578,31921867
761,575,31921871
764,579,31921875
765,578,31921879
762,577,31921883
762,577,31921887
763,579,31921891
761,577,31921895
761,582,31921899
760,582,31921903
760,583,31921907
760,580,31921911
759,581,31921915
758,583,31921920
758,581,31921924
757,578,31921928
760,578,31921932
760,580,31921936
760,578,31921940
759,580,31921944
760,575,31921948
758,573,31921952
758,572,31921956
758,574,31921960
757,573,31921964
758,573,31921968
759,571,31921972
758,571,31921976
756,573,31921980
756,574,31921984
758,572,31921988
759,573,31921992
761,572,31921996
760,572,31922000
762,566,31922004
762,568,31922008
759,569,31922012
759,569,31922016
759,568,31922020
758,568,31922024
761,567,31922028
763,569,31922032
761,567,31922037
760,567,31922041
761,568,31922045
762,574,31922049
764,572,31922053
767,577,31922057
768,574,31922061
771,575,31922065
774,574,31922069
774,572,31922073
773,573,31922077
773,574,31922081
776,574,31922085
778,573,31922089
781,571,31922093
782,568,31922097
784,573,31922101
785,573,31922105
781,581,31922109
781,580,31922113
783,581,31922117
782,579,31922121
782,578,31922125
780,577,31922129
777,579,31922133
777,578,31922137
775,578,31922141
773,576,31922145
771,575,31922149
772,581,31922154
774,580,31922158
774,581,31922162
769,581,31922166
769,583,31922170
770,582,31922174
769,582,31922178
767,582,31922182
767,582,31922186
768,580,31922190
768,581,31922194
770,581,31922198
767,581,31922202
767,581,31922206
767,581,31922210
770,581,31922214
771,581,31922218
773,582,31922222
772,580,31922226
772,579,31922230
772,577,31922234
772,577,31922238
772,576,31922242
773,574,31922246
774,574,31922250
776,575,31922254
771,576,31922258
770,574,31922262
770,572,31922266
772,571,31922271
774,572,31922275
776,571,31922279
775,572,31922283
778,573,31922287
777,574,31922291
776,574,31922295
777,575,31922299
780,572,31922303
781,572,31922307
781,572,31922311
781,572,31922315
775,579,31922319
775,580,31922323
775,580,31922327
774,580,31922331
775,582,31922335
776,584,31922339
776,583,31922343
778,580,31922347
779,582,31922351
778,583,31922355
776,584,31922359
776,583,31922363
771,583,31922367
773,583,31922371
771,583,31922375
771,582,31922379
770,582,31922383
770,583,31922388
767,585,31922392
767,584,31922396
770,582,31922400
770,581,31922404
774,578,31922408
774,577,31922412
772,578,31922416
775,577,31922420
772,577,31922424
770,577,31922428
771,575,31922432
774,576,31922436
773,576,31922440
773,574,31922444
770,574,31922448
768,572,31922452
768,572,31922456
767,572,31922460
767,572,31922464
771,572,31922468
773,570,31922472
772,570,31922476
769,575,31922480
768,576,31922484
767,575,31922488
767,576,31922492
771,574,31922496
776,576,31922500
773,575,31922505
773,575,31922509
772,576,31922513
773,576,31922517
771,577,31922521
776,585,31922525
777,586,31922529
778,589,31922533
776,589,31922537
775,588,31922541
777,590,31922545
778,591,31922549
778,593,31922553
777,593,31922557
777,596,31922561
778,596,31922565
784,594,31922569
784,590,31922573
780,597,31922577
780,596,31922581
793,602,31922585
791,602,31922589
791,602,31922593
791,601,31922597
789,602,31922601
790,603,31922605
792,601,31922609
811,612,31922613
815,611,31922617
863,629,31922622
867,629,31922626
960,680,31922630
960,679,31922634
989,665,31922638
990,666,31922642
1007,670,31922646
1007,669,31922650
1008,668,31922654
1011,665,31922658
1011,665,31922662
1039,655,31922666
1042,681,31922670
1134,650,31922674
1133,625,31922678
1219,592,31922682
1219,591,31922686
1259,583,31922690
1262,606,31922694
1283,597,31922698
1286,596,31922702
1276,593,31922706
1277,593,31922710
1268,597,31922714
1269,596,31922718
1269,594,31922722
1270,593,31922726
1266,592,31922730
1281,571,31922734
1285,570,31922739
1271,590,31922743
1272,590,31922747
1272,590,31922751
1276,592,31922755
1293,595,31922759
1295,597,31922763
1279,593,31922767
1283,591,31922771
1196,550,31922775
1195,553,31922779
1206,559,31922783
1208,562,31922787
1209,566,31922791
1209,570,31922795
1206,564,31922799
1210,562,31922803
1208,560,31922807
1206,566,31922811
1203,562,31922815
1206,563,31922819
1202,561,31922823
1199,565,31922827
1197,561,31922831
1197,561,31922835
1195,559,31922839
1193,562,31922843
1191,560,31922847
1189,563,31922851
1187,574,31922856
1186,572,31922860
1185,574,31922864
1186,575,31922868
1185,576,31922872
1186,574,31922876
1191,577,31922880
1196,576,31922884
1212,585,31922888
1213,586,31922892
1215,590,31922896
1218,591,31922900
1213,590,31922904
1214,588,31922908
1215,588,31922912
1218,587,31922916
1216,585,31922920
1218,584,31922924
1219,586,31922928
1223,586,31922932
1221,587,31922936
1251,576,31922940
1251,580,31922944
1258,575,31922948
1255,575,31922952
1249,580,31922956
1251,575,31922960
1244,577,31922964
1243,579,31922968
1246,579,31922973
1245,579,31922977
1243,578,31922981
1241,578,31922985
1241,579,31922989
1240,578,31922993
1236,579,31922997
1238,581,31923001
1241,578,31923005
1240,580,31923009
1243,577,31923013
1244,576,31923017
1245,576,31923021
1244,576,31923025
1239,579,31923029
1239,581,31923033
1241,576,31923037
1241,578,31923041
1243,578,31923045
1244,580,31923049
1247,578,31923053
1246,579,31923057
1242,579,31923061
1241,580,31923065
1245,579,31923069
1248,580,31923073
1249,578,31923077
1250,580,31923081
1250,580,31923085
1251,581,31923090
1249,582,31923094
1249,582,31923098
1250,584,31923102
1249,588,31923106
1250,589,31923110
1249,587,31923114
1253,589,31923118
1253,589,31923122
1251,589,31923126
1251,589,31923130
1251,592,31923134
1247,595,31923138
1247,597,31923142
1248,597,31923146
1246,598,31923150
1249,599,31923154
1248,604,31923158
1253,601,31923162
1252,603,31923166
1258,603,31923170
1258,602,31923174
1257,604,31923178
1257,604,31923182
1256,603,31923186
1255,608,31923190
1256,608,31923194
1253,608,31923198
1252,608,31923202
1252,607,31923207
1253,607,31923211
1253,604,31923215
1254,604,31923219
1273,594,31923223
1272,595,31923227
1271,591,31923231
1269,589,31923235
1269,587,31923239
1265,588,31923243
1261,586,31923247
1260,583,31923251
1259,583,31923255
1258,582,31923259
1255,579,31923263
1253,576,31923267
1249,574,31923271
1250,576,31923275
1248,577,31923279
1248,576,31923283
1248,576,31923287
1247,575,31923291
1248,578,31923295
1246,577,31923299
1241,577,31923303
1239,574,31923307
1239,576,31923311
1243,577,31923315
1241,579,31923319
1239,576,31923324
1242,575,31923328
1243,574,31923332
1245,573,31923336
1244,576,31923340
1247,578,31923344
1248,578,31923348
1252,577,31923352
1250,576,31923356
1257,575,31923360
1258,576,31923364
1259,575,31923368
1254,579,31923372
1256,577,31923376
1255,575,31923380
1256,577,31923384
1254,579,31923388
1256,579,31923392
1256,580,31923396
1256,579,31923400
1254,588,31923404
1251,591,31923408
1246,611,31923412
1247,609,31923416
1248,624,31923420
1246,623,31923424
1249,619,31923428
1244,623,31923432
1243,620,31923437
1242,623,31923441
1243,624,31923445
1239,626,31923449
1240,628,31923453
1238,630,31923457
1239,627,31923461
1236,643,31923465
1235,646,31923469
1230,662,31923473
1230,663,31923477
1234,665,31923481
1234,667,31923485
1229,671,31923489
1231,672,31923493
1230,673,31923497
1231,669,31923501
1230,672,31923505
1232,672,31923509
1232,671,31923513
1231,672,31923517
1230,672,31923521
1231,670,31923525
1232,669,31923529
1232,670,31923533
1233,671,31923537
1227,668,31923541
1229,667,31923545
1230,672,31923549
1231,672,31923554
1230,670,31923558
1227,670,31923562
1227,670,31923566
1226,671,31923570
1214,672,31923574
1213,673,31923578
1211,671,31923582
1212,671,31923586
1211,670,31923590
1211,672,31923594
1210,672,31923598
1212,673,31923602
1201,679,31923606
1201,680,31923610
1199,677,31923614
1199,678,31923618
1201,680,31923622
1203,681,31923626
1203,679,31923630
1207,679,31923634
1207,679,31923638
1199,678,31923642
1198,680,31923646
1202,677,31923650
1199,683,31923654
1201,680,31923658
1202,681,31923662
1201,681,31923666
1204,680,31923671
1202,678,31923675
1204,676,31923679
1204,674,31923683
1204,673,31923687
1203,673,31923691
1206,671,31923695
1201,668,31923699
1200,668,31923703
1200,669,31923707
1201,668,31923711
1193,672,31923715
1194,670,31923719
1192,667,31923723
1192,669,31923727
1191,671,31923731
1190,671,31923735
1189,671,31923739
1191,666,31923743
1190,665,31923747
1189,667,31923751
1188,668,31923755
1189,671,31923759
1190,670,31923763
1188,670,31923767
1184,669,31923771
1185,670,31923775
1187,670,31923779
1189,673,31923783
1187,671,31923788
1191,673,31923792
1191,676,31923796
1193,679,31923800
1194,679,31923804
1197,682,31923808
1197,682,31923812
1199,683,31923816
1197,685,31923820
1199,688,31923824
1200,686,31923828
1201,687,31923832
1205,684,31923836
1207,682,31923840
1213,684,31923844
1215,687,31923848
1223,681,31923852
1223,680,31923856
1225,680,31923860
1226,681,31923864
1230,677,31923868
1231,674,31923872
1241,676,31923876
1239,676,31923880
1239,673,31923884
1238,672,31923888
1236,668,31923892
1239,669,31923896
1240,667,31923900
1238,665,31923905
1243,668,31923909
1244,666,31923913
1240,668,31923917
1242,664,31923921
1237,670,31923925
1239,664,31923929
1236,669,31923933
1238,668,31923937
